document_name,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
b,0.08421745,0.08424911,0.57815766,0.08436274,0.084628075,0.08438491
'',0.08395004,0.08445127,0.08428532,0.57927096,0.08379741,0.08424501
upgrad,0.08366367,0.084093265,0.08368348,0.08383995,0.58137125,0.08334841
premium,0.084535204,0.08333909,0.08345088,0.5815755,0.08376094,0.08333841
edit,0.08351462,0.0833367,0.08347775,0.5815802,0.08410438,0.08398634
popular,0.08415735,0.0836074,0.08453778,0.5804667,0.08333973,0.083891094
ebook,0.58331716,0.08333691,0.08333643,0.083336525,0.08333655,0.0833364
reader,0.58111453,0.083766766,0.08390042,0.08454379,0.08333714,0.08333732
featur,0.08428649,0.08357803,0.08405763,0.08399704,0.08449918,0.5795816
avail,0.08425451,0.5790345,0.084250085,0.0846585,0.083432786,0.08436961
premium,0.08462301,0.0833391,0.08345119,0.5814861,0.08376223,0.083338425
version,0.08441751,0.08469911,0.08431259,0.08469642,0.577417,0.08445736
read,0.0842338,0.084081545,0.5812247,0.08379124,0.08333442,0.08333435
aloud,0.58301944,0.08339852,0.083394565,0.08339609,0.08339663,0.08339477
via,0.084134795,0.08438057,0.083467685,0.08386184,0.08404965,0.5801055
android,0.08440745,0.08409043,0.08419992,0.08359017,0.083891064,0.579821
text-to-speech,0.58248216,0.08336104,0.08335941,0.08353482,0.0839031,0.0833595
googl,0.084690146,0.5798411,0.083585866,0.084373206,0.0839569,0.08355278
translat,0.5814648,0.08334404,0.08334334,0.08415231,0.08402454,0.08367096
integr,0.5795733,0.0833475,0.0845039,0.084642604,0.08353261,0.084400125
built-in,0.58141583,0.0833628,0.08337045,0.083361536,0.084439486,0.08404991
support,0.08420255,0.0838317,0.083521284,0.5810432,0.08352431,0.083877005
pdf,0.08361847,0.08333502,0.08333629,0.5819347,0.08400487,0.08377063
comic,0.083640486,0.08333542,0.5823676,0.08333504,0.08333506,0.08398642
book,0.084744096,0.08333523,0.58130294,0.083720736,0.08342845,0.08346855
format,0.08360352,0.08349073,0.0834588,0.5819691,0.08373381,0.083744034
thumbnail,0.08350439,0.083341844,0.08334133,0.5831172,0.08334154,0.08335369
librari,0.5824885,0.083463885,0.08367563,0.08369932,0.08333631,0.08333636
view,0.08374169,0.084286146,0.08360314,0.083688505,0.58111125,0.08356924
main,0.08413008,0.08405249,0.08335011,0.58148605,0.08334898,0.0836323
ebook,0.58331716,0.083336905,0.08333643,0.083336525,0.08333655,0.0833364
format,0.08360362,0.08349077,0.08345883,0.58196735,0.083735324,0.08374412
epub,0.5822539,0.083361074,0.08335949,0.0843058,0.08336026,0.08335954
includ,0.08435294,0.08348266,0.08433565,0.5795932,0.084082104,0.08415344
main,0.08412538,0.084037974,0.0833501,0.58150566,0.083348975,0.08363193
epub3,0.5823016,0.08336104,0.08335942,0.08425814,0.0833602,0.08335953
pdf,0.083619095,0.083335035,0.0833363,0.5818984,0.08403931,0.08377185
kindl,0.08423156,0.08333953,0.58241105,0.08333953,0.08333931,0.08333899
azw3,0.58219415,0.08336135,0.08335954,0.084364854,0.083360404,0.08335966
mobipocket,0.5830189,0.08339864,0.08339468,0.08339619,0.08339675,0.08339485
fb2,0.58224666,0.08336123,0.08335952,0.08431264,0.08336036,0.083359584
.zip,0.08427211,0.0833745,0.08337215,0.58223563,0.08337335,0.0833723
other,0.08381851,0.5822285,0.08336525,0.08333982,0.08333969,0.083908245
support,0.08422994,0.08383264,0.08352153,0.58101314,0.08352456,0.08387818
format,0.083603375,0.083490685,0.083458774,0.5819717,0.08373392,0.08374157
comic,0.08364036,0.08333542,0.5823697,0.08333504,0.08333506,0.083984494
book,0.084657915,0.08333522,0.5813907,0.08371973,0.083428234,0.08346824
cbr/cbz,0.5830191,0.083398655,0.08339463,0.083396144,0.08339668,0.0833948
rtf,0.084217496,0.083351195,0.08335014,0.58237785,0.083353125,0.08335017
doc,0.083432145,0.08333832,0.08334086,0.5825,0.08333894,0.08404972
MS,0.5830186,0.08339874,0.083394736,0.083396226,0.08339678,0.083394885
word,0.08389943,0.08359711,0.58020884,0.08437432,0.083842844,0.08407744
html,0.5822351,0.08336125,0.08335949,0.08432425,0.08336032,0.08335961
plain,0.58301944,0.0833985,0.08339455,0.08339612,0.08339663,0.083394766
text,0.08365735,0.08333537,0.0834112,0.58239406,0.083349586,0.08385246
To,0.5831997,0.08336117,0.08335948,0.08336003,0.083360225,0.08335943
assist,0.08397281,0.5823514,0.08334579,0.08334591,0.083345935,0.08363813
read,0.08425078,0.084085755,0.5812029,0.08379176,0.083334416,0.08333434
foreign,0.5830198,0.083398335,0.08339453,0.08339607,0.08339659,0.08339473
languag,0.58203954,0.08333889,0.083727054,0.084034674,0.08341264,0.0834472
fbreader,0.58328426,0.08334405,0.0833428,0.08334298,0.083343096,0.08334276
's,0.08465812,0.08450908,0.08410252,0.57847035,0.0839165,0.084343456
dictionari,0.0838754,0.083340324,0.5824089,0.08354476,0.083339885,0.08349074
integr,0.5795033,0.08334753,0.08452333,0.08470057,0.083532974,0.084392294
look,0.083449006,0.08380512,0.08370972,0.08348431,0.08445513,0.5810967
word,0.08390209,0.08359813,0.5801,0.0844727,0.08384516,0.08408194
phrase,0.5825784,0.083361,0.08398082,0.08335998,0.083360225,0.083359525
you,0.083946824,0.08373605,0.58070207,0.083747394,0.083420426,0.084447235
choos,0.08444021,0.0840828,0.57947826,0.08400042,0.08419762,0.083800696
wide,0.08396804,0.5815199,0.083362095,0.08442475,0.08336297,0.083362184
select,0.5814518,0.08352846,0.08377463,0.083338015,0.08378078,0.08412637
extern,0.58034116,0.08462828,0.08335946,0.083363,0.084315725,0.083992414
dictionari,0.083876446,0.083340324,0.58240783,0.08354477,0.083339885,0.08349075
In,0.5819735,0.083597675,0.084406376,0.08333933,0.08333943,0.08334371
fbreader,0.5832843,0.08334405,0.0833428,0.08334298,0.083343096,0.08334276
premium,0.08450277,0.08333908,0.083450764,0.58160853,0.083760396,0.0833384
translat,0.58151037,0.08334401,0.08334332,0.08410884,0.084023334,0.08367012
sentenc,0.08473569,0.083393864,0.5816966,0.083391465,0.08339198,0.08339039
without,0.08426196,0.0833392,0.084567234,0.08400252,0.08333907,0.58049
leav,0.08386037,0.08452413,0.58073694,0.084162906,0.08335821,0.083357394
applic,0.08416405,0.08447253,0.0839065,0.08485298,0.083687656,0.57891625
use,0.08355775,0.083594464,0.08431523,0.08442048,0.57960397,0.084508136
integr,0.5795908,0.0833475,0.084488824,0.084654026,0.08353248,0.08438637
googl,0.08477665,0.57974696,0.08358649,0.08437786,0.083958745,0.083553314
yandex,0.5830194,0.08339852,0.08339458,0.08339613,0.08339664,0.08339478
translat,0.5814858,0.08334403,0.08334333,0.08412862,0.08402759,0.083670594
fbreader,0.5832843,0.08334405,0.0833428,0.08334298,0.083343096,0.08334276
support,0.084250726,0.083833195,0.08352171,0.5809907,0.08352474,0.08387893
synchron,0.5815419,0.08336147,0.08335956,0.083379306,0.084386714,0.08397102
librari,0.5824839,0.08346403,0.08368181,0.083697625,0.083336316,0.08333637
and/or,0.084122874,0.083370924,0.08336862,0.083369255,0.5814962,0.08427214
read,0.08419199,0.084074564,0.58127475,0.08378993,0.083334416,0.08333434
posit,0.5811112,0.08422998,0.083514735,0.08359025,0.084023334,0.08353054
fbreader,0.5832843,0.08334405,0.0833428,0.08334298,0.083343096,0.08334276
book,0.08462877,0.08333523,0.5814203,0.08371937,0.08342817,0.08346814
network,0.083506554,0.08333537,0.08352071,0.0834625,0.5825832,0.083591715
googl,0.08469887,0.57983154,0.08358594,0.08437374,0.0839571,0.083552845
drive,0.083547726,0.0835311,0.08375003,0.08425475,0.5814979,0.0834185
base,0.581923,0.08334153,0.08445681,0.08334083,0.08359713,0.08334073
cloud,0.08363145,0.08333757,0.08333804,0.083732955,0.08430438,0.5816556
servic,0.08343933,0.08400139,0.5820752,0.08333635,0.08351193,0.08363584
the,0.084473096,0.08368894,0.084145375,0.08421978,0.57887715,0.08459562
synchron,0.5816505,0.08336137,0.083359465,0.083379135,0.0842836,0.08396588
disabl,0.08414839,0.0833713,0.08336887,0.08336962,0.5823728,0.083369076
default,0.08398336,0.5818121,0.08336229,0.08336303,0.083363265,0.084116004
enabl,0.08452155,0.08335763,0.084630705,0.08335649,0.08335656,0.58077705
configur,0.08378579,0.08352161,0.083337754,0.58253574,0.08348109,0.08333799
prefer,0.08472261,0.083392814,0.08339779,0.08339081,0.083391264,0.58170474
dialog,0.083653174,0.08334866,0.08334762,0.08334793,0.08334808,0.58295447
fbreader,0.58328426,0.08334405,0.0833428,0.08334298,0.083343096,0.08334276
fast,0.083955996,0.08334669,0.0840527,0.08464963,0.08335776,0.5806372
highli,0.08371383,0.08335104,0.083733715,0.5825011,0.08335032,0.083349936
customiz,0.083954416,0.5815348,0.08334599,0.0837485,0.083346,0.08407028
extern,0.5803741,0.084601425,0.08335943,0.08336296,0.0843106,0.08399144
truetype/opentyp,0.5830195,0.083398454,0.083394535,0.083396085,0.08339665,0.08339475
font,0.08445663,0.08334097,0.08354693,0.08458381,0.08334261,0.58072907
custom,0.58160627,0.083412856,0.08408007,0.083612606,0.083637066,0.08365111
background,0.084058575,0.08410312,0.08347959,0.08349624,0.0834931,0.5813694
screen,0.5819268,0.08380623,0.08383128,0.083337575,0.08356999,0.083528146
bright,0.08425834,0.08334417,0.08433016,0.08369027,0.58096266,0.08341439
adjust,0.08453054,0.08392686,0.08351243,0.08333956,0.08375645,0.58093417
read,0.08422475,0.08407988,0.5812355,0.083791085,0.083334416,0.08333434
slide,0.08386669,0.08381442,0.08334418,0.5822844,0.08334634,0.08334395
finger,0.58239484,0.083339885,0.08347478,0.08333941,0.08333948,0.08411158
up/down,0.58301914,0.08339863,0.08339461,0.08339614,0.083396696,0.08339481
along,0.5804935,0.0846124,0.08335963,0.08342082,0.0841094,0.084004216
left,0.08429388,0.083339244,0.58235,0.08333904,0.08333904,0.08333881
screen,0.58192533,0.08380941,0.083829485,0.083337575,0.083570026,0.083528176
edg,0.084381826,0.08334585,0.08364079,0.08390213,0.580623,0.0841064
differ,0.083862044,0.08333881,0.0838453,0.08347424,0.08375798,0.5817216
day/night,0.58301926,0.08339859,0.08339462,0.08339613,0.083396666,0.08339479
color,0.08361555,0.08349626,0.08340208,0.08360217,0.08374401,0.58213997
scheme,0.5830194,0.083398454,0.0833946,0.083396114,0.08339665,0.08339477
select,0.5814544,0.08352844,0.08377455,0.083338015,0.08378073,0.08412393
thi,0.08354083,0.08353961,0.08466045,0.08362404,0.083353765,0.5812813
reader,0.58104223,0.08376783,0.08390193,0.084613495,0.08333716,0.08333733
also,0.0839359,0.08347909,0.08424729,0.08384837,0.083347104,0.58114225
includ,0.08435907,0.08348267,0.08433108,0.5795922,0.08408185,0.08415311
browser/download,0.5830187,0.08339878,0.083394684,0.08339621,0.08339674,0.083394855
access,0.084309176,0.083715156,0.58014244,0.08347337,0.08420968,0.08415014
differ,0.083851434,0.083338805,0.08382965,0.083473936,0.083756156,0.58175004
network,0.08350655,0.08333537,0.08352148,0.083462544,0.5825816,0.08359248
