topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
0,0,0.027017554,0.74053925,0,0.027902437,0,0,0,0,0,0.029469658
0.047233924,0,0.04763142,0.49555644,0,0,0,0,0,0,0,0.054195073
0.02787352,0,0.027873088,0.73279864,0,0,0,0,0,0,0.032066345,0
0.026626678,0,0.02773159,0.7508007,0.026692178,0,0,0,0,0,0,0
0.06155044,0,0,0.39241862,0,0.07344329,0,0,0,0,0,0.07062282
0,0,0,0.07654862,0,0,0.058143653,0.063471526,0,0,0,0.5151007
0.157706,0,0.29346353,0.09255396,0,0,0,0.065587215,0,0,0,0
0.03276851,0,0,0.09923718,0,0,0.6489826,0,0,0,0,0.042525094
0,0,0.025942393,0.7878522,0,0,0,0.020084027,0,0,0,0.024146093
0.1619316,0,0.044156678,0.50936764,0,0,0,0,0,0,0.04241941,0
0,0,0.17914043,0.19289973,0.13021076,0,0,0,0.082820274,0,0,0
0.077178225,0.2490272,0,0.259289,0,0,0,0,0.11671957,0,0,0
0,0,0.027910553,0.042657964,0,0,0.026752913,0,0,0,0,0.7359269
0.016999606,0,0.019930366,0.8255406,0.017437862,0,0,0,0,0,0,0
0,0,0.75617087,0.0374812,0,0,0,0,0.066114865,0,0,0.018574996
0,0,0.03729696,0.69737816,0.04029832,0.029597323,0,0,0,0,0,0
0,0,0.08221332,0.19331202,0.103288345,0,0,0,0,0,0.08701015,0
0,0,0.020076089,0.015486395,0,0,0,0.015003235,0.8344071,0,0,0
0,0,0.052236397,0.5298421,0,0,0,0,0.0760522,0,0,0.048917845
0,0,0,0.30017003,0,0.09117736,0,0.081217036,0,0,0,0.13992111
0,0.11534158,0.1038298,0,0,0.094632015,0,0,0.26106003,0,0,0
0,0,0.18567054,0.08397151,0,0.097379506,0,0,0.2848949,0,0,0
0,0.04922336,0.29330996,0,0,0,0,0.03632138,0.47517642,0,0,0
0,0,0.15679546,0.0658606,0,0.064636186,0,0,0.26224422,0,0,0
0,0.1559537,0,0,0.25857854,0.06822324,0,0,0.196446,0,0,0
0,0,0.08196952,0,0,0,0.0701486,0,0.3313651,0,0,0.06944372
0.1060449,0,0.11553139,0.13040143,0,0,0,0,0,0,0,0.095496364
0,0.44449663,0,0.09126106,0,0,0,0.05260932,0.069215156,0,0,0
0,0.09202128,0,0.27510458,0,0.08930579,0,0,0.103318125,0,0,0
0,0,0.041030973,0.046717286,0,0,0.028945338,0,0.68217564,0,0,0
0,0,0.060281973,0.20555891,0,0.26626825,0,0,0.1013039,0,0,0
0.12716882,0.13568814,0.11251282,0,0,0.08606079,0,0,0,0,0,0
0,0,0.58604836,0.02851709,0,0,0,0,0.2293551,0,0,0.018798511
0,0,0.08763681,0.07305559,0,0.30893603,0,0,0,0,0.106265694,0
0,0,0.037785053,0,0,0.03976077,0,0,0.650299,0,0,0.034896314
0,0.040416684,0,0,0.057030156,0,0,0.051158663,0.62995315,0,0,0
0.01751378,0,0.020346917,0.0176719,0,0,0,0,0.81343067,0,0,0
0,0.09522498,0,0,0,0,0,0.08827877,0.08538419,0,0.3713593,0
0.20754175,0,0,0.28829896,0,0,0,0.062213544,0,0,0.060153283,0
