Serial,Name,Scores
1,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_com.arena.banglalinkmela.app_2021-02-14.txt,6.789957643440695
2,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_com.baribodol_2021-01-02.txt,8.051547564276566
3,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_com.global.foodpanda.android_2021-02-23.txt,15.383981836751015
4,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_com.imo.android.imoim_2021-01-27.txt,15.383981836751015
5,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_com.ip_camera_monitor_2021-01-27.txt,15.87680660992477
6,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_com.sultansdine_309.txt,17.774385297480627
7,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_com.ubercab.eats_v1.210.10004-4837_Android-5.0.txt,27.38901434835254
8,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_Domino_s_Pizza_Bangladesh_v1.0.8_apkpure.com.txt,27.38901434835254
9,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_eFood_Express_Food_Delivery_v2.5.8_apkpure.com.txt,28.177134431966177
10,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_Fake_Video_Call_Messenger_Live_Chat_Messaging_v1.1_apkpure.com.txt,28.42354681855305
11,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_Flavor_Maker_Recipes_Meal_Planning_v2.3.112_apkpure.com.txt,28.67387310446106
12,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_HungryNaki_Online_Food_Delivery_in_Bangladesh_v4.5.9_apkpure.com.txt,31.830267338236748
13,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_KhaoDao_v2.5.5_apkpure.com.txt,18.145960827021504
14,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_Kludio_v1.0.3_apkpure.com.txt,0.125163142954006
15,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_Make_your_old_phone_as_Home_Security_Camera_v7.0_apkpure.com.txt,5.451813780126323
16,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_Messenger_–_Text_and_Video_Chat_for_Free_v301.0.0.12.112_apkpure.com.txt,5.451813780126323
17,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_10\apiCalls\10_WhatsApp_Messenger_v2.21.4.23_apkpure.com.txt,13.620000885202852
